"Name,Description,Price,Category"
"Smartphone,""Latest model with 128GB storage"",699.99,Electronics"
"Laptop,""High performance laptop with 16GB RAM"",999.99,Electronics"
"Wireless Earbuds,""Noise-cancelling wireless earbuds"",199.99,Electronics"
"Bluetooth Speaker,""Portable Bluetooth speaker with deep bass"",59.99,Electronics"
"Smartwatch,""Water-resistant smartwatch with fitness tracking"",149.99,Electronics"
"Novel,""Bestselling novel by a famous author"",12.99,Books"
"Cookbook,""Recipe book with over 200 dishes"",24.99,Books"
"Self-Help Book,""Guide to improving mental well-being"",15.99,Books"
"Travel Guide,""Comprehensive guide to European travel"",18.99,Books"
"Science Fiction,""Classic science fiction novel"",10.99,Books"
"T-Shirt,""100% cotton t-shirt"",9.99,Clothing"
"Jeans,""Slim fit denim jeans"",29.99,Clothing"
"Jacket,""Waterproof outdoor jacket"",49.99,Clothing"
"Sneakers,""Comfortable running shoes"",39.99,Clothing"
"Hat,""Stylish baseball cap"",14.99,Clothing"
"Sofa,""Modern 3-seater sofa"",499.99,Home"
"Coffee Table,""Glass top coffee table"",89.99,Home"
"Lamp,""LED desk lamp"",24.99,Home"
"Chair,""Ergonomic office chair"",119.99,Home"
"Bedding Set,""King size bedding set with 4 pieces"",59.99,Home"
"Vitamins,""Multivitamins for daily health"",19.99,Health"
"Yoga Mat,""Non-slip yoga mat"",29.99,Health"
"Face Mask,""Reusable cloth face mask"",9.99,Health"
"Protein Powder,""Whey protein powder for muscle gain"",49.99,Health"
"Thermometer,""Digital forehead thermometer"",25.99,Health"
"Treadmill,""Folding treadmill for home use"",399.99,Sports"
"Dumbbell Set,""Adjustable dumbbell set"",79.99,Sports"
"Soccer Ball,""FIFA-approved soccer ball"",29.99,Sports"
"Tennis Racket,""Professional tennis racket"",89.99,Sports"
"Yoga Block,""Foam yoga block for support"",14.99,Sports"
"Action Figure,""Collectible superhero action figure"",19.99,Toys"
"Board Game,""Strategy board game for all ages"",34.99,Toys"
"Puzzle,""1000-piece jigsaw puzzle"",17.99,Toys"
"Doll,""Fashion doll with accessories"",24.99,Toys"
"Remote Control Car,""High-speed remote control car"",49.99,Toys"
"Shampoo,""Organic hair strengthening shampoo"",12.99,Beauty"
"Face Cream,""Anti-aging face cream"",39.99,Beauty"
